date,month,year,region,temp_min,temp_avg,temp_max,dew_min,dew_avg,dew_max,hum_min,hum_avg,hum_max,wind_speed_min,wind_speed_avg,wind_speed_max,pressure_min,pressure_avg,pressure_max,precip
1,6,2012,Bejaia,26.11111111,21.16666667,15,20,16.05555556,12.22222222,88,73.9,53,22.53076,12.552852,0,1015.917,1015.917,1012.53061,0
2,6,2012,Bejaia,28.88888889,22.72222222,17.22222222,21.11111111,16.83333333,12.22222222,88,70.3,42,19.31208,10.138842,0,1012.53061,1012.53061,1012.53061,0
3,6,2012,Bejaia,26.11111111,21.83333333,17.22222222,21.11111111,18.88888889,16.11111111,94,83.2,69,37.01482,14.805928,0,1015.917,1012.53061,1012.53061,0
4,6,2012,Bejaia,26.11111111,22.61111111,17.77777778,21.11111111,19.16666667,17.22222222,100,81.3,65,22.53076,7.24203,0,1015.917,965.12115,0,0
5,6,2012,Bejaia,25,21.38888889,17.77777778,20,18.16666667,17.22222222,94,82.1,65,19.31208,7.402964,0,1015.917,1015.917,1015.917,0
6,6,2012,Bejaia,27.77777778,23,17.22222222,22.22222222,18,15,94,74.4,51,25.74944,11.26538,0,1012.53061,1012.53061,1009.14422,0
7,6,2012,Bejaia,37.22222222,29,22.22222222,22.22222222,18.05555556,15,73,52.4,30,24.1401,9.977908,0,1015.917,1009.14422,1002.37144,0
8,6,2012,Bejaia,27.22222222,24.61111111,22.77777778,21.11111111,19.61111111,15,88,73.7,57,28.96812,15.771532,0,1012.53061,1009.14422,1005.75783,0
9,6,2012,Bejaia,26.11111111,22.88888889,20,21.11111111,20.11111111,17.77777778,94,84.5,69,16.0934,5.310822,0,1015.917,1015.917,1012.53061,0
10,6,2012,Bejaia,25,22.05555556,18.88888889,21.11111111,19.05555556,17.77777778,94,83.9,69,22.53076,9.816974,0,1015.917,1015.917,1012.53061,0
11,6,2012,Bejaia,31.11111111,24.22222222,18.88888889,21.11111111,18.38888889,15,88,71.2,38,22.53076,11.748182,0,1012.53061,1009.14422,1009.14422,0
