date,month,year,region,temp_min,temp_avg,temp_max,dew_min,dew_avg,dew_max,hum_min,hum_avg,hum_max,wind_speed_min,wind_speed_avg,wind_speed_max,pressure_min,pressure_avg,pressure_max,precip
1,6,2012,Sidi-Bel Abbes,31.11111111,25.72222222,21.11111111,18.88888889,16.88888889,13.88888889,83,59.5,38,27.35878,13.357522,0,1002.37144,1002.37144,1002.37144,0
2,6,2012,Sidi-Bel Abbes,27.77777778,23.16666667,20,17.77777778,17.38888889,16.11111111,88,71.3,54,28.96812,18.990212,3.21868,1005.75783,1002.37144,1002.37144,0
3,6,2012,Sidi-Bel Abbes,31.11111111,23.88888889,17.77777778,17.77777778,16.94444444,15,88,66.5,45,33.79614,15.127796,3.21868,1005.75783,1005.75783,1002.37144,0
4,6,2012,Sidi-Bel Abbes,30,24.11111111,16.11111111,17.77777778,16.72222222,13.88888889,88,65.6,43,22.53076,10.46071,0,1005.75783,1005.75783,1002.37144,0
5,6,2012,Sidi-Bel Abbes,27.77777778,23.33333333,17.22222222,18.88888889,16.83333333,15,88,68.1,48,25.74944,10.621644,0,1005.75783,1005.75783,1002.37144,0
6,6,2012,Sidi-Bel Abbes,31.11111111,25.11111111,16.11111111,17.77777778,14.83333333,12.22222222,94,57.2,33,25.74944,9.173238,0,1005.75783,1002.37144,998.98505,0
7,6,2012,Sidi-Bel Abbes,33.88888889,27.61111111,21.11111111,17.77777778,16.16666667,13.88888889,69,50.7,32,37.01482,17.219938,0,998.98505,998.98505,995.59866,0
8,6,2012,Sidi-Bel Abbes,30,25.27777778,21.11111111,18.88888889,15.44444444,12.77777778,83,55.1,42,35.40548,27.036912,19.31208,1005.75783,1002.37144,998.98505,0
9,6,2012,Sidi-Bel Abbes,30,23.88888889,18.88888889,16.11111111,12.83333333,8.888888889,83,52.7,30,37.01482,21.565156,3.21868,1009.14422,1005.75783,1005.75783,0
10,6,2012,Sidi-Bel Abbes,33.88888889,24.77777778,16.11111111,15,10.94444444,6.111111111,77,47.6,20,33.79614,16.415268,1.60934,1009.14422,1005.75783,1002.37144,0
11,6,2012,Sidi-Bel Abbes,32.77777778,26.83333333,22.22222222,17.77777778,14.88888889,12.22222222,65,49,29,48.2802,30.416526,8.0467,1002.37144,1002.37144,998.98505,0
12,6,2012,Sidi-Bel Abbes,28.88888889,24.11111111,17.77777778,15,11.94444444,7.777777778,73,48.8,30,32.1868,18.829278,3.21868,1002.37144,1002.37144,1002.37144,0
