date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2012-01-01,14.6,11.2,18.7,0,,,,,,
2012-01-02,15.9,12.8,19.3,0,,,,,,
2012-01-03,15.9,13.9,18,0,,,,,,
2012-01-04,15.2,12.1,17.8,0,,,,,,
2012-01-05,16.2,14.2,19.5,0,,,,,,
2012-01-06,16.5,,18.5,0,,,,,,
2012-01-07,14.7,13.5,16.2,0,,,,,,
2012-01-08,14,11.8,16.4,0,,,,,,
2012-01-09,13.9,10.4,17.5,0,,,,,,
2012-01-10,13.7,11.9,16.5,0,,,,,,
2012-01-11,13.9,,15.8,0,,,,,,
2012-01-12,13.6,9.1,16.3,0,,,,,,
2012-01-13,15.1,11.9,19.7,0,,,,,,
2012-01-14,15.1,13.2,18.2,0,,,,,,
2012-01-15,15,12.9,17.5,0,,,,,,
2012-01-16,14.4,12.1,16.2,0,,,,,,
2012-01-17,14.2,12.8,16.1,0,,,,,,
2012-01-18,14.1,,15.4,0,,,,,,
2012-01-19,12.9,9.9,15.9,0,,,,,,
2012-01-20,13,9.8,16.5,0,,,,,,
2012-01-21,13.1,10.3,15.6,0,,,,,,
2012-01-22,13.7,11.3,17.2,,,,,,,
2012-01-23,13.4,10.8,17.5,0,,,,,,
2012-01-24,15,12.1,17.2,0,,,,,,
2012-01-25,13.6,11.2,,0,,,,,,
2012-01-26,13.6,10.3,,0,,,,,,
2012-01-27,13.8,11.3,16.5,0,,,,,,
2012-01-28,14,11,16.7,0,,,,,,
2012-01-29,10.7,,,1,,,,,,
2012-01-30,9.6,6.1,12.5,14,,,,,,
2012-01-31,12.3,8.9,15.2,0.8,,,,,,
2012-02-01,13.4,10.8,17.1,0,,,,,,
2012-02-02,12.3,,16.4,0,,,,,,
2012-02-03,7.8,,,31,,,,,,
2012-02-04,5,,6.3,49,,,,,,
2012-02-05,5.4,2.6,7.6,20.1,,,,,,
2012-02-06,8.6,4.2,11.2,8.9,,,,,,
2012-02-07,9.6,,11.5,8.9,,,,,,
2012-02-08,7.9,4.8,9.5,5.1,,,,,,
2012-02-09,8.6,5.6,10.6,22.1,,,,,,
2012-02-10,9.5,,12.5,5.1,,,,,,
2012-02-11,8,,10,9.9,,,,,,
2012-02-12,7.6,5,10.2,8.9,,,,,,
2012-02-13,5.2,,7.4,19.1,,,,,,
2012-02-14,7.3,4,10.2,27.9,,,,,,
2012-02-15,9.3,5.5,12.5,13,,,,,,
2012-02-16,10.8,6.9,14.2,3,,,,,,
2012-02-17,11.5,7.6,14.5,0,,,,,,
2012-02-18,11.9,7.1,14.8,0,,,,,,
2012-02-19,12.3,10.3,14.5,0,,,,,,
2012-02-20,11.5,9.5,13.7,0,,,,,,
2012-02-21,10.9,6.3,13.4,3,,,,,,
2012-02-22,11.9,9.2,13.8,9.9,,,,,,
2012-02-23,13.6,11.4,15.8,3,,,,,,
2012-02-24,12.6,9.4,15,0,,,,,,
2012-02-25,13.9,10.4,18.9,0,,,,,,
2012-02-26,14.2,10,18.4,0,,,,,,
2012-02-27,14.1,12.1,16.6,0,,,,,,
2012-02-28,13.2,10.5,,0,,,,,,
2012-02-29,13.1,11.2,15,0,,,,,,
2012-03-01,12.6,10,15.3,0,,,,,,
2012-03-02,14.6,10.2,20.5,0,,,,,,
2012-03-03,15.3,11.6,18.5,0,,,,,,
2012-03-04,16.3,12.6,20.2,0,,,,,,
2012-03-05,15.3,,17,0,,,,,,
2012-03-06,12.2,,15.5,0,,,,,,
2012-03-07,10.7,8,14.1,18,,,,,,
2012-03-08,12,9,16,10.9,,,,,,
2012-03-09,11.4,8.8,13.4,26.9,,,,,,
2012-03-10,13.8,9.7,14.9,22.1,,,,,,
2012-03-11,13.7,11.6,15.9,0,,,,,,
2012-03-12,14,10.8,18.2,0,,,,,,
2012-03-13,14.2,11.1,17,0,,,,,,
2012-03-14,15.1,11.4,19.4,0,,,,,,
2012-03-15,14.6,11.1,16.7,0,,,,,,
2012-03-16,17.2,12.5,22.9,0,,,,,,
2012-03-17,15.7,13.8,17.7,0,,,,,,
2012-03-18,17.1,14.2,22,0,,,,,,
2012-03-19,15.3,14,,0,,,,,,
2012-03-20,15.9,14.9,16.5,2,,,,,,
2012-03-21,16.4,14.2,20.5,0,,,,,,
2012-03-22,15.6,14.5,19,0,,,,,,
2012-03-23,15,13.8,16.6,0,,,,,,
2012-03-24,15.2,,16.5,0,,,,,,
2012-03-25,14.8,13.8,16,0,,,,,,
2012-03-26,15,13.7,16.3,0,,,,,,
2012-03-27,15.6,14.8,17.5,4.1,,,,,,
2012-03-28,15.8,14.7,16.8,0,,,,,,
2012-03-29,16.2,14.7,,0,,,,,,
2012-03-30,16.4,14.8,20,0,,,,,,
2012-03-31,17.4,14,21.4,0,,,,,,
2012-04-01,17,15.6,18.7,0,,,,,,
2012-04-02,16.9,15.8,19,7.9,,,,,,
2012-04-03,17.2,15.6,19.5,0,,,,,,
2012-04-04,17.5,14,21.3,0,,,,,,
2012-04-05,17.6,15.2,21.5,,,,,,,
2012-04-06,15.8,12.5,19.3,0,,,,,,
2012-04-07,16.2,12.5,19.7,0,,,,,,
2012-04-08,16.8,14.2,20.5,0,,,,,,
2012-04-09,16.9,13.1,19.2,0,,,,,,
2012-04-10,20.8,17,25.4,0,,,,,,
2012-04-11,18.5,16.8,21,0,,,,,,
2012-04-12,15.6,,18,0,,,,,,
2012-04-13,14,,17.3,37.1,,,,,,
2012-04-14,15.7,11.7,18.6,54.1,,,,,,
2012-04-15,14.2,,16.2,24.9,,,,,,
2012-04-16,11.8,,14.3,10.9,,,,,,
2012-04-17,13.6,10,17.3,18,,,,,,
2012-04-18,17.4,13.3,22,0,,,,,,
2012-04-19,17.2,15.1,20.6,0,,,,,,
2012-04-20,17.2,14.7,20.2,0,,,,,,
2012-04-21,17.9,,23.3,0,,,,,,
2012-04-22,20.2,16.8,23.8,0,,,,,,
2012-04-23,18.3,15.3,,0,,,,,,
2012-04-24,18.6,,22.3,0,,,,,,
2012-04-25,18.2,14.8,20.7,0,,,,,,
2012-04-26,20.5,17.8,25,0,,,,,,
2012-04-27,20.7,18.3,24.5,0,,,,,,
2012-04-28,19.9,17,26.4,0,,,,,,
2012-04-29,18,15.5,20.5,0.3,,,,,,
2012-04-30,17.1,14.8,20,4.1,,,,,,
2012-05-01,16.3,13.6,18.8,0,,,,,,
2012-05-02,17,14.8,18.6,0,,,,,,
2012-05-03,18.3,16.8,20,5.1,,,,,,
2012-05-04,20.2,15.6,24.2,0,,,,,,
2012-05-05,20.4,17.5,24.7,0,,,,,,
2012-05-06,18.3,16.8,21.9,2,,,,,,
2012-05-07,17.7,15,,2,,,,,,
2012-05-08,18.8,15.5,21.9,0,,,,,,
2012-05-09,19.4,15.6,21.7,0,,,,,,
2012-05-10,19.5,17.8,22,0,,,,,,
2012-05-11,20.2,18.5,22,0,,,,,,
2012-05-12,19.6,18.8,21,0,,,,,,
2012-05-13,20.8,17.5,26.6,0,,,,,,
2012-05-14,19.7,18.9,20.7,0,,,,,,
2012-05-15,19.5,17.3,21.9,0,,,,,,
2012-05-16,19,17.6,21.5,0,,,,,,
2012-05-17,18.6,16.2,21.1,0,,,,,,
2012-05-18,21.1,18,25.5,0,,,,,,
2012-05-19,20.5,,25.8,0,,,,,,
2012-05-20,19.2,,22,6.1,,,,,,
2012-05-21,18,16.2,20.4,4.1,,,,,,
2012-05-22,20.1,16.7,23.8,0.8,,,,,,
2012-05-23,21,17,24.8,0,,,,,,
2012-05-24,20.8,19.3,24.2,0,,,,,,
2012-05-25,19.5,17.2,21.4,0,,,,,,
2012-05-26,20.4,18.1,25.8,0,,,,,,
2012-05-27,19.9,17.2,,0,,,,,,
2012-05-28,19.9,18.8,21.7,0,,,,,,
2012-05-29,20.9,19.1,24.3,0,,,,,,
2012-05-30,20.3,18.8,,0,,,,,,
2012-05-31,22.7,,25.2,,,,,,,
2012-06-01,22.7,19.4,26.7,0,,,,,,
2012-06-02,24.4,20.3,29.1,0,,,,,,
2012-06-03,22.9,20.8,25.6,0,,,,,,
2012-06-04,21.8,19.4,24.8,1,,,,,,
2012-06-05,22.2,19.6,23.6,0,,,,,,
2012-06-06,23.4,,30.3,0,,,,,,
2012-06-07,27.6,21,34.4,0,,,,,,
2012-06-08,25.8,,28.5,0,,,,,,
2012-06-09,22.8,21,25.2,0,,,,,,
2012-06-10,25.1,20.8,31,0,,,,,,
2012-06-11,27.7,23.1,30.7,0,,,,,,
2012-06-12,24.5,,26.2,0,,,,,,
2012-06-13,21.9,20.6,22.8,0,,,,,,
2012-06-14,21.8,20.3,24.2,0,,,,,,
2012-06-15,22.3,21.2,24,0,,,,,,
2012-06-16,22.9,18.5,25.8,0,,,,,,
2012-06-17,22.3,21.2,23.4,0,,,,,,
2012-06-18,23.2,21.8,25.3,0,,,,,,
2012-06-19,25.9,23.2,28.1,0,,,,,,
2012-06-20,25.4,20.5,29.4,0,,,,,,
2012-06-21,27,21.8,31.9,0,,,,,,
2012-06-22,25.2,,27.2,0,,,,,,
2012-06-23,24.2,22.6,25.7,0,,,,,,
2012-06-24,24.3,21.9,25.6,0,,,,,,
2012-06-25,24.7,23.8,26.2,0,,,,,,
2012-06-26,25.6,22.2,28.4,0,,,,,,
2012-06-27,25.3,22.1,28.5,0,,,,,,
2012-06-28,26.8,22.8,31.2,0,,,,,,
2012-06-29,31.4,25.2,37.8,0,,,,,,
2012-06-30,29.6,24.4,33.2,0,,,,,,
2012-07-01,27.2,,30.2,0,,,,,,
2012-07-02,24.1,21.8,24.9,0,,,,,,
2012-07-03,24,22.8,25.4,0,,,,,,
2012-07-04,23.9,22.5,26.2,0,,,,,,
2012-07-05,26.2,22.4,32.5,0,,,,,,
2012-07-06,26.3,25.2,27.6,0,,,,,,
2012-07-07,25.6,24.2,27.6,0,,,,,,
2012-07-08,25.6,24.5,28.4,0,,,,,,
2012-07-09,25.5,23.8,27.1,0,,,,,,
2012-07-10,25.8,23,28.7,0,,,,,,
2012-07-11,28.1,25.8,32,0,,,,,,
2012-07-12,26.7,24.8,28.4,0,,,,,,
2012-07-13,26.4,24.6,28.2,0,,,,,,
2012-07-14,31.5,26.7,35.1,0,,,,,,
2012-07-15,27.7,,,0,,,,,,
2012-07-16,24.6,,25.6,0,,,,,,
2012-07-17,23.7,21.8,28.5,0,,,,,,
2012-07-18,24,,26.2,0,,,,,,
2012-07-19,25.4,22.8,27.2,0,,,,,,
2012-07-20,25.6,23.2,29.6,0,,,,,,
