date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2012-01-01,11.1,7,19.3,0,,,8.1,,,
2012-01-02,13.2,7.5,20.5,0,,,,,,
2012-01-03,12.8,9,17.2,3,,,8,,,
2012-01-04,11,6.9,18.9,0,,,6.7,,,
2012-01-05,12.2,8.5,19.4,0,,,5.1,,,
2012-01-06,12.8,9.5,17.2,0,,,12.3,,,
2012-01-07,12.5,10,17,7.9,,,0.8,,,
2012-01-08,10.7,7,18.4,0,,,9.1,,,
2012-01-09,10.4,6,16.6,0,,,12.1,,,
2012-01-10,10.6,7,16.5,0,,,9.1,,,
2012-01-11,9.3,5,16,0,,,9.6,,,
2012-01-12,9.4,5.2,18,0,,,10.2,,,
2012-01-13,10.3,6,19.8,0,,,12.3,,,
2012-01-14,10.5,6.4,17,0,,,11.5,,,
2012-01-15,10.6,6.7,15,0,,,11.4,,,
2012-01-16,10.2,6.3,16,0.3,,,12.1,,,
2012-01-17,10.9,4.5,17,0.8,,,15.6,,,
2012-01-18,11.8,8,14.1,7.9,,,14.4,,,
2012-01-19,8.6,3.8,15.6,2,,,10.3,,,
2012-01-20,8.8,4,16.5,0,,,11.3,,,
2012-01-21,9.5,5,17.2,0,,235,11.8,,,
2012-01-22,10.1,5.7,17,0,,,11.5,,,
2012-01-23,10.5,6,18,0,,,11,,,
2012-01-24,11.8,8,19,0,,,8.8,,,
2012-01-25,10.4,6.8,18.2,0,,,10.9,,,
2012-01-26,9.9,5.5,17.3,0,,222,13.2,,,
2012-01-27,9.7,5.4,16.6,0,,,8.7,,,
2012-01-28,10.6,6.5,17.4,0,,,12.8,,,
2012-01-29,9.6,6.5,13,6.1,,,9.5,,,
2012-01-30,7.2,3.5,11,26.9,,270,20.6,,,
2012-01-31,10.4,,15.5,35.1,,,,,,
2012-02-01,8.8,4.8,19,0,,,,,,
2012-02-02,11.3,5,20,0,,,10.7,,,
2012-02-03,5.8,3,8.7,30,,,17.6,,,
2012-02-04,2.7,1.5,3.5,64,,,8.2,,,
2012-02-05,2.7,1,5.2,21.1,,,16.6,,,
2012-02-06,4,1.6,8.7,17,,255,16.6,,,
2012-02-07,4.5,2.1,7.6,34,,257,16.7,,,
2012-02-08,4.7,2.8,7.3,17,,257,19.3,,,
2012-02-09,7.1,4.8,10,25.9,,,15.3,,,
2012-02-10,9.2,6.5,16,7.1,,,11.9,,,
2012-02-11,6.2,3,9.5,6.1,,,4.6,,,
2012-02-12,4.8,1.5,10.6,19.1,,,9.6,,,
2012-02-13,3.3,0.5,7,0,,,11.8,,,
2012-02-14,6.1,2.5,10.4,23.9,,252,20,,,
2012-02-15,7.6,4.5,12.1,2,,,10.5,,,
2012-02-16,7.9,3,14.4,3,,,12.3,,,
2012-02-17,8.5,2.6,15.1,0,,,10.1,,,
2012-02-18,8.9,4.5,16,0,,,12.8,,,
2012-02-19,9.2,3.6,16.5,0,,,10.3,,,
2012-02-20,9,5.3,14.5,0,,,4.9,,,
2012-02-21,7.7,6.2,11.6,18,,,11.3,,,
2012-02-22,9.7,6.4,13,20.1,,297,16.4,,,
2012-02-23,11.7,8,15.9,15,,,11.3,,,
2012-02-24,9.8,5,16.1,0,,,9.6,,,
2012-02-25,10.9,5.9,17,0,,,10.1,,,
2012-02-26,10.8,4.7,18.3,0,,,9,,,
2012-02-27,11.4,5.5,18,0,,,7.2,,,
2012-02-28,11.1,6.5,16.4,0,,,6,,,
2012-02-29,9.9,4.6,16,0,,,9.2,,,
2012-03-01,10.1,4.4,16.2,0,,,8.9,,,
2012-03-02,12.3,6.2,23,0,,,12.7,,,
2012-03-03,12.1,6.6,18,0,,,9.7,,,
2012-03-04,12.8,6.8,20.3,0,,,9.4,,,
2012-03-05,13.8,10,18.2,0,,,7.9,,,
2012-03-06,10.7,8,16.1,0,,,2,,,
2012-03-07,8.3,6,14,20.1,,,15.4,,,
2012-03-08,9.7,7,15,16,,,,,,
2012-03-09,9.3,6.1,12.8,9.9,,,12.3,,,
2012-03-10,12.4,9.1,15.1,11.9,,357,17.9,,,
2012-03-11,11.3,6.8,16,0,,,11.9,,,
2012-03-12,13.1,8.2,,0,,,,,,
2012-03-13,11.9,6.7,17.7,0,,,12.5,,,
