date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2012-01-01,9.1,0,15.3,0,,,,,,
2012-01-02,10.6,1.8,,0,,,,,,
2012-01-03,7.9,1.6,,0,,,,,,
2012-01-04,8.7,-2.2,14.8,0,,,,,,
2012-01-05,10,0,16.8,0,,,,,,
2012-01-06,14.1,,17.3,0,,,,,,
2012-01-07,7.7,,10.7,0,,,,,,
2012-01-08,7.2,-2.6,14.1,0,,,,,,
2012-01-09,6.6,-4.9,13.3,0,,,,,,
2012-01-10,7.2,-3.6,13.4,0,,,,,,
2012-01-11,7.6,,,0,,,,,,
2012-01-12,7.8,,12.2,0,,,,,,
2012-01-13,12.8,,,,,,,,,
2012-01-14,9.7,0.8,14.5,0,,,,,,
2012-01-15,9.6,,14.4,0,,,,,,
2012-01-16,8.2,2.5,11.3,0,,,,,,
2012-01-17,2.8,,5.3,8.9,,,,,,
2012-01-18,4.6,,7.2,6.1,,,,,,
2012-01-19,3.1,0.8,6.4,0,,,,,,
2012-01-20,3.5,,7.2,0,,,,,,
2012-01-21,4.5,-2,,0,,,,,,
2012-01-22,5.2,,9.5,0,,,,,,
2012-01-23,7.1,,,0,,,,,,
2012-01-24,7,-1.3,14.1,0,,,,,,
2012-01-25,8.3,,13.4,0,,,,,,
2012-01-26,8.4,-1.2,,0,,,,,,
2012-01-27,5.7,-2.3,11.8,0,,,,,,
2012-01-28,3.9,-2.1,9.4,0,,,,,,
2012-01-29,5.8,2.4,8,0,,,,,,
2012-01-30,4.8,1.3,7.4,0,,,,,,
2012-01-31,3,,9.4,0,,,,,,
2012-02-01,8.4,-1.7,15,0,,,,,,
2012-02-02,8.6,2.9,12.2,0,,,,,,
2012-02-03,1.9,,,4.1,,,,,,
2012-02-04,-0.7,,1.4,0,,,,,,
2012-02-05,0.1,-4.9,3.4,0,41,,,,,
2012-02-06,3.8,0,7.6,1,20,,,,,
2012-02-07,5.9,4,8.6,0,,,,,,
2012-02-08,2.2,-0.3,5.6,1,,,,,,
2012-02-09,1.8,-3.3,6,0,,,,,,
2012-02-10,1.3,,,0,,,,,,
2012-02-11,2.9,,6,0,,,,,,
2012-02-12,3,-1.2,6.4,0,,,,,,
2012-02-13,1.3,-3.2,4.4,0,,,,,,
2012-02-14,2.4,-7,7.6,0,,,,,,
2012-02-15,3.9,-5.1,,0,,,,,,
2012-02-16,8.1,-3,13.2,0,,,,,,
2012-02-17,9.7,-1.2,15.4,0,,,,,,
2012-02-18,9.7,-1.9,16.4,0,,,,,,
2012-02-19,9.2,,14.2,0,,,,,,
2012-02-20,5.1,-1.4,9.1,0,,,,,,
2012-02-21,5.4,0.7,8.4,0,,,,,,
2012-02-22,3.5,-2.1,7.6,0,,,,,,
2012-02-23,5.2,-1,,0,,,,,,
2012-02-24,8.4,,14.2,0,,,,,,
2012-02-25,8.9,-1.3,13.9,0,,,,,,
2012-02-26,12.2,3.1,,0,,,,,,
2012-02-27,10.1,-2.1,16.3,0,,,,,,
2012-02-28,11.6,0.2,16.8,0,,,,,,
2012-02-29,11.7,,16.3,0,,,,,,
2012-03-01,11.8,,18,0,,,,,,
2012-03-02,13.6,3,19.1,0,,,,,,
2012-03-03,10.2,4.5,15.3,0,,,,,,
2012-03-04,11.1,1,16.9,0,,,,,,
2012-03-05,12.7,4,18,0,,,,,,
2012-03-06,9.7,,14.8,0,,,,,,
2012-03-07,6,0.8,9.5,0,,,,,,
2012-03-08,7.1,-0.8,11.8,0,,,,,,
2012-03-09,4.9,0.6,7.4,0.5,,,,,,
2012-03-10,5,1.3,8.4,0.5,,,,,,
2012-03-11,5.2,-3.5,10,0,,,,,,
2012-03-12,8.5,-1,14.2,0,,,,,,
2012-03-13,13.2,0.2,19.2,0,,,,,,
2012-03-14,16.3,,21.2,0,,,,,,
2012-03-15,17.3,5,23.3,0,,,,,,
2012-03-16,17.8,8.3,22.7,0,,,,,,
2012-03-17,17.3,8.2,22,0,,,,,,
2012-03-18,17.6,,23,0,,,,,,
2012-03-19,17.4,10.8,21.2,0,,,,,,
2012-03-20,17.4,7.6,21.1,0,,,,,,
2012-03-21,16.1,5.7,19.6,0,,,,,,
2012-03-22,15.6,4.6,20.4,0,,,,,,
2012-03-23,18.9,8.7,23.1,0,,,,,,
2012-03-24,16.4,12.6,20.3,0,,,,,,
2012-03-25,14.1,9,18.2,9.9,,,,,,
2012-03-26,16.7,11,21.2,0,,,,,,
2012-03-27,14.6,7.3,20.2,0,,,,,,
2012-03-28,15.2,10.9,18.5,7.1,,,,,,
2012-03-29,12.9,,15.3,4.1,,,,,,
2012-03-30,14.4,9.8,19.2,13,,,,,,
2012-03-31,16.8,9,,7.9,,,,,,
2012-04-01,15.2,10.3,18.5,0,,,,,,
2012-04-02,10.8,7.6,13.4,8.9,,,,,,
2012-04-03,10.4,7.7,13.3,0,,,,,,
2012-04-04,10.8,3.5,,1,,,,,,
2012-04-05,9.7,6.2,,1,,,,,,
2012-04-06,9.4,4.7,13.3,2,,,,,,
2012-04-07,11.9,2,17.7,0,,,,,,
2012-04-08,15.8,5,21.7,0,,,,,,
2012-04-09,19.4,6.2,24.2,0,,,,,,
2012-04-10,18.5,13.6,,0,,,,,,
2012-04-11,14.3,7.8,18,0,,,,,,
2012-04-12,11.8,,17.3,0,,,,,,
2012-04-13,8.4,4.6,11.2,4.1,,,,,,
2012-04-14,10.8,3.7,15.4,0,,,,,,
2012-04-15,6.7,,10.4,5.1,,,,,,
2012-04-16,5.6,1.1,8.3,11.9,,,,,,
2012-04-17,9.5,1.7,14.2,1,,,,,,
2012-04-18,14.9,4.6,19.4,0,,,,,,
2012-04-19,12.5,7.3,16.4,0,,,,,,
2012-04-20,15,6.7,20,0,,,,,,
2012-04-21,20.3,5.8,26,0,,,,,,
2012-04-22,17.6,10.1,21.3,0,,,,,,
2012-04-23,16.9,6.9,21.4,0,,,,,,
2012-04-24,19.2,8.1,24.6,0,,,,,,
2012-04-25,22.2,8.4,27,0,,,,,,
