date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2007-01-01,13.8,10.4,17.6,0,,,,,,
2007-01-02,12.5,9.4,15.6,0,,,,,,
2007-01-03,10.6,7.9,15.7,0,,,,,,
2007-01-04,11.8,8.5,17.3,0,,,,,,
2007-01-05,13.2,11.2,17.9,0,,,,,,
2007-01-06,11.6,10.1,15.6,0,,,,,,
2007-01-07,12.5,10.2,17.6,0,,,,,,
2007-01-08,12.8,11.2,15.6,0,,,,,,
2007-01-09,10.6,7.8,13.3,0,,,,,,
2007-01-10,10.9,10.5,12,10.1,,,,,,
2007-01-11,12.1,9.4,15.5,0,,,,,,
2007-01-12,11.4,9.2,14,0,,,,,,
2007-01-13,11.1,7.7,14.6,0,,,,,,
2007-01-14,10.2,7.9,12.4,0,,,,,,
2007-01-15,11.7,10.4,15.3,0,,,,,,
2007-01-16,11.4,9.3,15.2,0,,,,,,
2007-01-17,12.6,10.7,17.1,0,,,,,,
2007-01-18,12.1,8.7,16.2,0,,,,,,
2007-01-19,13.1,10.7,16.4,0,,,,,,
2007-01-20,13.2,10.6,16.8,0,,,,,,
2007-01-21,13.3,11,17.1,0,,,,,,
2007-01-22,10.8,7.7,14.3,3.3,,,,,,
2007-01-23,8.5,6.1,13.9,5.8,,,,,,
2007-01-24,8.4,6.2,12.2,0,,,,,,
2007-01-25,9.1,6.3,12.9,3.6,,,,,,
2007-01-26,7.2,3.8,10.4,0,,,,,,
2007-01-27,7.4,4.8,11.3,0,,,,,,
2007-01-28,5.9,3.8,7.6,5.4,,,,,,
2007-01-29,7.9,6.2,11.7,13.6,,,,,,
2007-01-30,9,7.7,11.8,0.8,,,,,,
2007-01-31,9.9,6.8,14.3,0,,,,,,
2007-02-01,9.7,6.3,13.9,0,,,,,,
2007-02-02,10.6,7.8,14.5,0,,,,,,
2007-02-03,11.9,9.7,14.5,0,,,,,,
2007-02-04,10.8,7,14.9,0,,,,,,
2007-02-05,10.2,6.5,15.1,0,,,,,,
2007-02-06,10.8,8.8,14.5,0,,,,,,
2007-02-07,11.7,8.4,14.8,17.7,,,,,,
2007-02-08,14.3,11.3,17.6,30.8,,,,,,
2007-02-09,14.1,10.5,17.7,4.2,,,,,,
2007-02-10,15.1,13.1,18.8,0.3,,,,,,
2007-02-11,15.3,15.5,16.4,5.1,,,,,,
2007-02-12,15.2,13.4,17.6,2.6,,,,,,
2007-02-13,15.3,14.5,17,3.1,,,,,,
2007-02-14,14.7,12.5,19,3.2,,,,,,
2007-02-15,13.2,11,15.9,0,,,,,,
2007-02-16,12.3,9.8,15.9,11.2,,,,,,
2007-02-17,11.8,8.8,16.5,3.5,,,,,,
2007-02-18,11.2,9.8,15.8,0,,,,,,
2007-02-19,12.3,9.9,16,16.8,,,,,,
2007-02-20,11.6,9.4,14.6,0.3,,,,,,
2007-02-21,12.1,8.2,17.2,5.5,,,,,,
2007-02-22,14.2,12.2,18.5,8,,,,,,
2007-02-23,13.9,12,17.5,0.4,,,,,,
2007-02-24,13.9,11.6,19,0,,,,,,
2007-02-25,14.6,11.5,17.5,3.3,,,,,,
2007-02-26,13.3,10.6,17.5,0,,,,,,
2007-02-27,13.7,10.2,19,0,,,,,,
2007-02-28,12.8,11.1,16,0,,,,,,
2007-03-01,13.4,10.4,18.7,0,,,,,,
2007-03-02,14.7,13.4,18.6,0,,,,,,
2007-03-03,15.1,12.7,18.8,0,,,,,,
2007-03-04,13.4,11.2,16,2.1,,,,,,
2007-03-05,12.9,9.9,16.5,0,,,,,,
2007-03-06,14,10.6,17.8,2.4,,,,,,
2007-03-07,14.8,11,18.8,0,,,,,,
2007-03-08,13.2,11,18.3,0,,,,,,
2007-03-09,16.1,11.6,21.3,0,,,,,,
2007-03-10,17.7,14.2,21.5,0,,,,,,
2007-03-11,16.9,13.8,21.9,0,,,,,,
2007-03-12,14.5,11.4,18.6,0,,,,,,
2007-03-13,15.7,12.2,20.5,0,,,,,,
2007-03-14,16.5,12,20.5,0,,,,,,
2007-03-15,16.7,13.2,20.7,0,,,,,,
2007-03-16,17.2,12.7,22.9,0,,,,,,
2007-03-17,17.1,13.8,20.5,0,,,,,,
2007-03-18,16.6,13,22.4,0,,,,,,
2007-03-19,12.6,10.7,14.5,0,,,,,,
2007-03-20,10.7,7.8,14.4,0,,,,,,
2007-03-21,10.4,7.5,14,0,,,,,,
2007-03-22,11.2,7.6,15,0,,,,,,
2007-03-23,14.1,10.8,17.1,0,,,,,,
2007-03-24,13.1,10.5,18.1,0,,,,,,
2007-03-25,12.4,9.2,16.3,0,,,,,,
2007-03-26,13,10.3,17.7,0.5,,,,,,
2007-03-27,12.6,10,16,0.5,,,,,,
2007-03-28,12.6,10,16.5,1.8,,,,,,
2007-03-29,13.5,11.2,17.6,0,,,,,,
2007-03-30,12.8,9.7,16.6,0,,,,,,
2007-03-31,12.8,10.6,16,7.6,,,,,,
2007-04-01,12.1,10,15.6,0,,,,,,
2007-04-02,10.7,8.7,14.4,6.1,,,,,,
2007-04-03,12.4,9.2,17,8.2,,,,,,
2007-04-04,13.2,9.1,17.6,0,,,,,,
2007-04-05,13.3,10.3,16.4,0,,,,,,
2007-04-06,13.8,10.3,18.6,0,,,,,,
2007-04-07,14.1,10.3,19.3,0,,,,,,
2007-04-08,12.9,10.6,17.5,0,,,,,,
2007-04-09,13.7,9.8,19,0,,,,,,
2007-04-10,14.6,10.4,20,0,,,,,,
2007-04-11,15.1,13.5,19,3.2,,,,,,
2007-04-12,15.1,13.3,19,0,,,,,,
2007-04-13,15.6,12.7,20.5,0,,,,,,
2007-04-14,15.6,12.1,21.9,0,,,,,,
2007-04-15,16.9,10.4,23.1,0,,,,,,
2007-04-16,20.7,16.4,25.8,0,,,,,,
2007-04-17,20.8,16.9,25.6,0,,,,,,
2007-04-18,19.5,17,24.2,0,,,,,,
2007-04-19,17.4,14.7,22.3,0,,,,,,
2007-04-20,15.8,13.8,17.1,22,,,,,,
2007-04-21,19.3,18.5,25,0,,,,,,
2007-04-22,21,15.2,26.6,0,,,,,,
2007-04-23,21.2,16.2,26.6,0,,,,,,
2007-04-24,18.9,17,21.2,0,,,,,,
2007-04-25,15.7,13.4,19.5,2.3,,,,,,
2007-04-26,14.5,12.4,17.6,0,,,,,,
2007-04-27,15.1,12.3,19.2,2.7,,,,,,
2007-04-28,14.6,11.2,19.3,0,,,,,,
2007-04-29,14.8,10.8,20.5,0,,,,,,
2007-04-30,14.1,11.4,17.5,0.7,,,,,,
2007-05-01,13.6,9.8,17.3,24.9,,,,,,
2007-05-02,14.4,13,18.1,7.5,,,,,,
2007-05-03,15.2,11.4,20,0,,,,,,
2007-05-04,15.6,13.5,19.3,0,,,,,,
2007-05-05,16.9,13,22.1,0,,,,,,
2007-05-06,18.7,14.8,23.8,0,,,,,,
2007-05-07,19.1,14.6,25.5,0,,,,,,
2007-05-08,22.2,15,28.7,0,,,,,,
2007-05-09,22.5,17.6,29,0,,,,,,
2007-05-10,18.4,14.9,24.2,0,,,,,,
2007-05-11,16.5,13.8,20.6,0,,,,,,
2007-05-12,17.1,14.2,20.4,0,,,,,,
2007-05-13,16.7,13.5,20.4,0.2,,,,,,
2007-05-14,15.6,12.3,19.2,0,,,,,,
2007-05-15,16.2,12.6,22,0,,,,,,
2007-05-16,19.7,14,26,0,,,,,,
