date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2007-01-01,10.1,9.5,11.7,0,,,12.3,,1039,
2007-01-02,4.7,-1.1,6.6,0,,,3.2,,1042.9,
2007-01-03,0.2,-2.6,9.8,0,,,,,,
2007-01-04,5.4,-1.9,14.6,0,,,,,,
2007-01-05,9.7,-0.2,12.3,0,,,,,,
2007-01-06,7.3,4.8,10.1,0,,,,,,
2007-01-07,7,4.8,10.6,2.4,,,7.2,,1029.5,
2007-01-08,8.6,5.3,11.7,0,,,8.3,,1028,
2007-01-09,7.9,6.9,11.7,0,,,,,,
2007-01-10,6.3,5.5,13.9,0,,,,,,
2007-01-11,5.3,-1.2,15.6,0,,,3.4,,1038.2,
2007-01-12,4.5,-1,12.3,0,,,2.9,,1038.5,
2007-01-13,4.3,-1,7.8,0,,,3,,1033.3,
2007-01-14,3.7,-1,6.6,0,,,2.4,,1033.4,
2007-01-15,2.9,-0.5,11.2,0,,,4.5,,1028.7,
2007-01-16,6.3,0,10.9,2.3,,,4.5,,1027.6,
2007-01-17,8.7,3.3,12,0.9,,,8.4,,1030.4,
2007-01-18,10.3,7,9.9,0.3,,,11,,1034.6,
2007-01-19,9.1,7.4,13,0.1,,,3.8,,1036.1,
2007-01-20,8.2,6.6,6.2,0.1,,,3.3,,1031.6,
2007-01-21,4.7,2.9,6.6,5,,,5.1,,1026.4,
2007-01-22,3.9,2.8,5.7,0,,289,15.5,,1014.6,
2007-01-23,2.3,-1.1,6,0,,,14.1,,1017.7,
2007-01-24,0.3,-5.2,4.8,0.4,,,9,,1020.1,
2007-01-25,2.2,-4.4,5,0,,,17.6,,1013.7,
2007-01-26,1.6,-2,6.3,0,,,13.5,,1022.5,
2007-01-27,-0.4,-6.3,7.5,0,,,8.2,,1032,
2007-01-28,1.9,-3.3,5.9,0,,,9.8,,1030.6,
2007-01-29,3.5,0.1,8.2,1.3,,,,,,
2007-01-30,4.1,2.7,9.3,0.1,,,2.3,,1022.6,
2007-01-31,2.9,-3.2,8.6,0,,,4.8,,1027,
2007-02-01,3,-0.6,5,0,,,5.3,,1030.8,
2007-02-02,2.6,-0.6,6.8,1.1,,,8,,1029,
2007-02-03,4.7,-0.4,9.8,0,,,,,,
2007-02-04,5.2,2.2,9.4,0.2,,,1.8,,1025.5,
2007-02-05,4.6,-0.1,10.3,0,,,5.7,,1022.7,
2007-02-06,5.9,0.7,9.1,0,,,6.9,,1014.1,
2007-02-07,7.2,1.2,12.2,9.8,,,12.3,,1009.6,
2007-02-08,8.6,6.6,10.7,12.9,,,12.1,,1006.2,
2007-02-09,6.8,3.3,13.6,0.4,,250,17.4,,1015.2,
2007-02-10,10.3,4.2,14,1.6,,257,19.7,,1019.4,
2007-02-11,12.3,8.9,12.1,34.7,,,12.8,,1017.7,
2007-02-12,9.3,6.7,11.9,0.1,,,13.5,,1018.8,
2007-02-13,5.3,-0.2,13.3,7.6,,,5.8,,1020.2,
2007-02-14,9.6,2.3,12,0.1,,,,,,
2007-02-15,5.5,-0.9,13.9,2.5,,,6,,1022.1,
2007-02-16,7.9,0.8,8.6,5.7,,,8.3,,1008.5,
2007-02-17,5.8,4.2,12.9,0.1,,,16.4,,1015.4,
2007-02-18,7.6,5,6,0,,285,16.1,,1020.7,
2007-02-19,2.7,-1.1,11,10.8,,,1.9,,1017.4,
2007-02-20,6.2,0.6,11.8,0.1,,,8.9,,1011.9,
2007-02-21,4.6,-2.4,12.1,3.4,,,5.9,,1018.4,
2007-02-22,8.5,1.1,11.4,8.1,,202,15.5,,1014.9,
2007-02-23,8.8,7.2,11.6,11.6,,,18.2,,1016.8,
2007-02-24,9.4,6.5,12.6,3.7,,,13.6,,1021.4,
2007-02-25,9.3,8.5,15.5,0,,286,17.7,,1022.6,
2007-02-26,6.9,-1,17.2,0,,,7.2,,1029.4,
2007-02-27,8.5,0.9,10.9,2.5,,,7.4,,1028.5,
2007-02-28,9.4,2.9,11.7,0,,,,,,
