timestamp,temp,humidity,wind,rain,FFMC,DMC,DC,ISI,nino34_sst,fire
2012-06-01,29.0,57,18.0,0.0,65.7,3.4,7.6,1.3,27.7,0
2012-06-02,29.0,61,13.0,1.3,64.4,4.1,7.6,1.0,27.7,0
2012-06-03,26.0,82,22.0,13.1,47.1,2.5,7.1,0.3,27.7,0
2012-06-04,25.0,89,13.0,2.5,28.6,1.3,6.9,0.0,27.7,0
2012-06-05,27.0,77,16.0,0.0,64.8,3.0,14.2,1.2,27.7,0
2012-06-06,31.0,67,14.0,0.0,82.6,5.8,22.2,3.1,27.7,1
2012-06-07,33.0,54,13.0,0.0,88.2,9.9,30.5,6.4,27.7,1
2012-06-08,30.0,73,15.0,0.0,86.6,12.1,38.3,5.6,27.7,1
2012-06-09,25.0,88,13.0,0.2,52.9,7.9,38.8,0.4,27.7,0
2012-06-10,28.0,79,12.0,0.0,73.2,9.5,46.3,1.3,27.7,0
2012-06-11,31.0,65,14.0,0.0,84.5,12.5,54.3,4.0,27.7,1
2012-06-12,26.0,81,19.0,0.0,84.0,13.8,61.4,4.8,27.7,1
2012-06-13,27.0,84,21.0,1.2,50.0,6.7,17.0,0.5,28.0,0
2012-06-14,30.0,78,20.0,0.5,59.0,4.6,7.8,1.0,28.0,0
2012-06-15,28.0,80,17.0,3.1,49.4,3.0,7.4,0.4,28.0,0
2012-06-16,29.0,89,13.0,0.7,36.1,1.7,7.6,0.0,28.0,0
2012-06-17,30.0,89,16.0,0.6,37.3,1.1,7.8,0.0,28.0,0
2012-06-18,31.0,78,14.0,0.3,56.9,1.9,8.0,0.7,28.0,0
2012-06-19,31.0,55,16.0,0.1,79.9,4.5,16.0,2.5,28.0,0
2012-06-20,30.0,80,16.0,0.4,59.8,3.4,27.1,0.9,28.2,0
2012-06-21,30.0,78,14.0,0.0,81.0,6.3,31.6,2.6,28.2,1
2012-06-22,31.0,67,17.0,0.1,79.1,7.0,39.5,2.4,28.2,0
2012-06-23,32.0,62,18.0,0.1,81.4,8.2,47.7,3.3,28.2,1
2012-06-24,32.0,66,17.0,0.0,85.9,11.2,55.8,5.6,28.2,1
2012-06-25,31.0,64,15.0,0.0,86.7,14.2,63.8,5.7,28.2,1
2012-06-26,31.0,64,18.0,0.0,86.8,17.8,71.8,6.7,28.2,1
2012-06-27,34.0,53,18.0,0.0,89.0,21.6,80.3,9.2,28.0,1
2012-06-28,32.0,55,14.0,0.0,89.1,25.5,88.5,7.6,28.0,1
2012-06-29,32.0,47,13.0,0.3,79.9,18.4,84.4,2.2,28.0,0
2012-06-30,33.0,50,14.0,0.0,88.7,22.9,92.8,7.2,28.0,1
2012-07-01,29.0,68,19.0,1.0,59.9,2.5,8.6,1.1,28.0,0
2012-07-02,27.0,75,19.0,1.2,55.7,2.4,8.3,0.8,28.0,0
2012-07-03,32.0,76,20.0,0.7,63.1,2.6,9.2,1.3,28.0,0
2012-07-04,33.0,78,17.0,0.0,80.1,4.6,18.5,2.7,27.7,0
2012-07-05,33.0,66,14.0,0.0,85.9,7.6,27.9,4.8,27.7,1
2012-07-06,32.0,63,14.0,0.0,87.0,10.9,37.0,5.6,27.7,1
2012-07-07,35.0,64,18.0,0.2,80.0,9.7,40.4,2.8,27.7,0
2012-07-08,33.0,68,19.0,0.0,85.6,12.5,49.8,6.0,27.7,1
2012-07-09,32.0,68,14.0,1.4,66.6,7.7,9.2,1.1,27.7,0
2012-07-10,33.0,69,13.0,0.7,66.6,6.0,9.3,1.1,27.7,0
2012-07-11,33.0,76,14.0,0.0,81.1,8.1,18.7,2.6,27.2,0
2012-07-12,31.0,75,13.0,0.1,75.1,7.9,27.7,1.5,27.2,0
2012-07-13,34.0,81,15.0,0.0,81.8,9.7,37.2,3.0,27.2,0
2012-07-14,34.0,61,13.0,0.6,73.9,7.8,22.9,1.4,27.2,0
2012-07-15,30.0,80,19.0,0.4,60.7,5.2,17.0,1.1,27.2,0
2012-07-16,28.0,76,21.0,0.0,72.6,7.0,25.5,0.7,27.2,0
2012-07-17,29.0,70,14.0,0.0,82.8,9.4,34.1,3.2,27.2,1
2012-07-18,31.0,68,14.0,0.0,85.4,12.1,43.1,4.6,27.4,1
2012-07-19,35.0,59,17.0,0.0,88.1,12.0,52.8,7.7,27.4,1
2012-07-20,33.0,65,15.0,0.1,81.4,12.3,62.1,2.8,27.4,1
2012-07-21,33.0,70,17.0,0.0,85.4,18.5,71.5,5.2,27.4,1
2012-07-22,28.0,79,18.0,0.1,73.4,16.4,79.9,1.8,27.4,0
2012-07-23,27.0,66,22.0,0.4,68.2,10.5,71.3,1.8,27.4,0
2012-07-24,28.0,78,16.0,0.1,70.0,9.6,79.7,1.4,27.4,0
2012-07-25,31.0,65,18.0,0.0,84.3,12.5,88.7,4.8,27.6,1
2012-07-26,36.0,53,19.0,0.0,89.2,17.1,98.6,10.0,27.6,1
2012-07-27,36.0,48,13.0,0.0,90.3,22.2,108.5,8.7,27.6,1
2012-07-28,33.0,76,15.0,0.0,86.5,24.4,117.8,5.6,27.6,1
2012-07-29,32.0,73,15.0,0.0,86.6,26.7,127.0,5.6,27.6,1
2012-07-30,31.0,79,15.0,0.0,85.4,28.5,136.0,4.7,27.6,1
2012-07-31,35.0,64,17.0,0.0,87.2,31.9,145.7,6.8,27.6,1
2012-08-01,36.0,45,14.0,0.0,78.8,4.8,10.2,2.0,27.6,0
2012-08-02,35.0,55,12.0,0.4,78.0,5.8,10.0,1.7,27.6,0
2012-08-03,35.0,63,14.0,0.3,76.6,5.7,10.0,1.7,27.6,0
2012-08-04,34.0,69,13.0,0.0,85.0,8.2,19.8,4.0,27.6,1
2012-08-05,34.0,65,13.0,0.0,86.8,11.1,29.7,5.2,27.6,1
2012-08-06,32.0,75,14.0,0.0,86.4,13.0,39.1,5.2,27.6,1
2012-08-07,32.0,69,16.0,0.0,86.5,15.5,48.6,5.5,27.6,1
2012-08-08,32.0,60,18.0,0.3,77.1,11.3,47.0,2.2,27.7,0
2012-08-09,35.0,59,17.0,0.0,87.4,14.8,57.0,6.9,27.7,1
2012-08-10,35.0,55,14.0,0.0,88.9,18.6,67.0,7.4,27.7,1
2012-08-11,35.0,63,13.0,0.0,88.9,21.7,77.0,7.1,27.7,1
2012-08-12,35.0,51,13.0,0.3,81.3,15.6,75.1,2.5,27.7,0
2012-08-13,35.0,63,15.0,0.0,87.0,19.0,85.1,5.9,27.7,1
2012-08-14,33.0,66,14.0,0.0,87.0,21.7,94.7,5.7,27.7,1
2012-08-15,36.0,55,13.0,0.3,82.4,15.6,92.5,3.7,27.3,1
2012-08-16,36.0,61,18.0,0.3,80.2,11.7,90.4,2.8,27.3,1
2012-08-17,37.0,52,18.0,0.0,89.3,16.0,100.7,9.7,27.3,1
2012-08-18,36.0,54,18.0,0.0,89.4,20.0,110.9,9.7,27.3,1
2012-08-19,35.0,62,19.0,0.0,89.4,23.2,120.9,9.7,27.3,1
2012-08-20,35.0,68,19.0,0.0,88.3,25.9,130.6,8.8,27.3,1
2012-08-21,36.0,58,19.0,0.0,88.6,29.6,141.1,9.2,27.3,1
2012-08-22,36.0,55,18.0,0.0,89.1,33.5,151.3,9.9,27.3,1
2012-08-23,36.0,53,16.0,0.0,89.5,37.6,161.5,10.4,27.3,1
2012-08-24,34.0,64,14.0,0.0,88.9,40.5,171.3,9.0,27.3,1
2012-08-25,35.0,60,15.0,0.0,88.9,43.9,181.3,8.2,27.3,1
2012-08-26,31.0,78,18.0,0.0,85.8,45.6,190.6,4.7,27.3,1
2012-08-27,33.0,82,21.0,0.0,84.9,47.0,200.2,4.4,27.3,1
2012-08-28,34.0,64,16.0,0.0,89.4,50.2,210.4,7.3,27.3,1
2012-08-29,35.0,48,18.0,0.0,90.1,54.2,220.4,12.5,28.1,1
2012-08-30,35.0,70,17.0,0.8,72.7,25.2,180.4,1.7,28.1,0
2012-08-31,28.0,80,21.0,16.8,52.5,8.7,8.7,0.6,28.1,0
2012-09-01,25.0,76,17.0,7.2,46.0,1.3,7.5,0.2,28.1,0
2012-09-02,22.0,86,15.0,10.1,30.5,0.7,7.0,0.0,28.1,0
2012-09-03,25.0,78,15.0,3.8,42.6,1.2,7.5,0.1,28.1,0
2012-09-04,29.0,73,17.0,0.1,68.4,1.9,15.7,1.4,28.1,0
2012-09-05,29.0,75,16.0,0.0,80.8,3.4,24.0,2.8,27.8,1
2012-09-06,29.0,74,19.0,0.1,75.8,3.6,32.2,2.1,27.8,0
