date,nino12_sst,nino12_ssta,nino3_sst,nino3_ssta,nino34_sst,nino34_ssta,nino4_sst,nino4_ssta
2012-01-01,22.8,0.6,24.3,1.0,25.4,1.1,27.2,1.1
2012-01-02,22.8,0.6,24.3,1.0,25.4,1.1,27.2,1.1
2012-01-03,22.8,0.6,24.3,1.0,25.4,1.1,27.2,1.1
2012-01-04,23.1,0.7,24.6,0.8,25.7,0.8,27.3,1.0
2012-01-05,23.1,0.7,24.6,0.8,25.7,0.8,27.3,1.0
2012-01-06,23.1,0.7,24.6,0.8,25.7,0.8,27.3,1.0
2012-01-07,23.1,0.7,24.6,0.8,25.7,0.8,27.3,1.0
2012-01-08,23.1,0.7,24.6,0.8,25.7,0.8,27.3,1.0
2012-01-09,23.1,0.7,24.6,0.8,25.7,0.8,27.3,1.0
2012-01-10,23.1,0.7,24.6,0.8,25.7,0.8,27.3,1.0
2012-01-11,23.5,0.7,25.3,0.2,26.1,0.4,27.3,0.9
2012-01-12,23.5,0.7,25.3,0.2,26.1,0.4,27.3,0.9
2012-01-13,23.5,0.7,25.3,0.2,26.1,0.4,27.3,0.9
2012-01-14,23.5,0.7,25.3,0.2,26.1,0.4,27.3,0.9
2012-01-15,23.5,0.7,25.3,0.2,26.1,0.4,27.3,0.9
2012-01-16,23.5,0.7,25.3,0.2,26.1,0.4,27.3,0.9
2012-01-17,23.5,0.7,25.3,0.2,26.1,0.4,27.3,0.9
2012-01-18,23.9,0.7,25.3,0.3,26.0,0.5,27.3,0.8
2012-01-19,23.9,0.7,25.3,0.3,26.0,0.5,27.3,0.8
2012-01-20,23.9,0.7,25.3,0.3,26.0,0.5,27.3,0.8
2012-01-21,23.9,0.7,25.3,0.3,26.0,0.5,27.3,0.8
2012-01-22,23.9,0.7,25.3,0.3,26.0,0.5,27.3,0.8
2012-01-23,23.9,0.7,25.3,0.3,26.0,0.5,27.3,0.8
2012-01-24,23.9,0.7,25.3,0.3,26.0,0.5,27.3,0.8
2012-01-25,24.6,0.4,25.3,0.4,25.8,0.7,27.2,0.9
2012-01-26,24.6,0.4,25.3,0.4,25.8,0.7,27.2,0.9
2012-01-27,24.6,0.4,25.3,0.4,25.8,0.7,27.2,0.9
2012-01-28,24.6,0.4,25.3,0.4,25.8,0.7,27.2,0.9
2012-01-29,24.6,0.4,25.3,0.4,25.8,0.7,27.2,0.9
2012-01-30,24.6,0.4,25.3,0.4,25.8,0.7,27.2,0.9
2012-01-31,24.6,0.4,25.3,0.4,25.8,0.7,27.2,0.9
2012-02-01,24.4,1.0,25.0,0.9,25.6,0.9,27.1,1.0
2012-02-02,24.4,1.0,25.0,0.9,25.6,0.9,27.1,1.0
2012-02-03,24.4,1.0,25.0,0.9,25.6,0.9,27.1,1.0
2012-02-04,24.4,1.0,25.0,0.9,25.6,0.9,27.1,1.0
2012-02-05,24.4,1.0,25.0,0.9,25.6,0.9,27.1,1.0
2012-02-06,24.4,1.0,25.0,0.9,25.6,0.9,27.1,1.0
2012-02-07,24.4,1.0,25.0,0.9,25.6,0.9,27.1,1.0
2012-02-08,25.3,0.5,25.4,0.7,25.7,0.9,27.4,0.7
2012-02-09,25.3,0.5,25.4,0.7,25.7,0.9,27.4,0.7
2012-02-10,25.3,0.5,25.4,0.7,25.7,0.9,27.4,0.7
2012-02-11,25.3,0.5,25.4,0.7,25.7,0.9,27.4,0.7
2012-02-12,25.3,0.5,25.4,0.7,25.7,0.9,27.4,0.7
2012-02-13,25.3,0.5,25.4,0.7,25.7,0.9,27.4,0.7
2012-02-14,25.3,0.5,25.4,0.7,25.7,0.9,27.4,0.7
2012-02-15,26.1,0.0,26.2,0.2,26.2,0.5,27.5,0.6
2012-02-16,26.1,0.0,26.2,0.2,26.2,0.5,27.5,0.6
2012-02-17,26.1,0.0,26.2,0.2,26.2,0.5,27.5,0.6
2012-02-18,26.1,0.0,26.2,0.2,26.2,0.5,27.5,0.6
2012-02-19,26.1,0.0,26.2,0.2,26.2,0.5,27.5,0.6
2012-02-20,26.1,0.0,26.2,0.2,26.2,0.5,27.5,0.6
